name,image,subclass,description,hp,hp_backed,hp_cooked,effect_cooked,quality_lvl,potential,duration_bonus_cooked,food_recipe
Blue Nightshade,40px-BotW_Blue_Nightshade_Icon.png?version=b94a8aee0036847ccf7536a8f8b57cbc (https://dl.airtable.com/mcXuCO7TTKiJdqnCqc1H_40px-BotW_Blue_Nightshade_Icon.png%3Fversion%3Db94a8aee0036847ccf7536a8f8b57cbc),Plant,"A plant that grows in quieter areas of Hyrule. At night, it gives off a soft glow. Cook with it to increase your stealth.",,,,Sneaky,1,1.00,2:00,
Bright-Eyed Crab,40px-BotW_Bright-Eyed_Crab_Icon.png?version=0952264e91e7b2d5a0fcf4a0d780a8dd (https://dl.airtable.com/fZz1BLpQhusZR3xyV5gL_40px-BotW_Bright-Eyed_Crab_Icon.png%3Fversion%3D0952264e91e7b2d5a0fcf4a0d780a8dd),Seafood,"This crab appears in large numbers when it rains. On bite of its delectable meat, and you'll forget all your exhaustion. Replenishes your stamina when cooked into a dish.",1.00,1.50,2.00,Energizing,2,3.00,,"Frozen Crab,Crab Omelet with Rice,Crab Risotto,Crab Stir-Fry,Blackened Crab,Salt-Grilled Crab,Seafood Skewer,Monster Stew"
Cane Sugar,40px-BotW_Cane_Sugar_Icon.png?version=ae9bfa4deaa1d0f25c55561f7a974e55 (https://dl.airtable.com/c8o1UOoSuWhxe8a0Sc99_40px-BotW_Cane_Sugar_Icon.png%3Fversion%3Dae9bfa4deaa1d0f25c55561f7a974e55),Ingredient,"When boiled with other ingredients, the cane breaks down into a sweet juice necessary for making cakes and other sweets. It's commonly found in ingredients stores.",,,,,,,"First 1:20,0:30","Apple Pie,Carrot Cake,Egg Pudding,Egg Tart,Fried Bananas,Fruit Pie,Fruitcake,Honey Crepe,Monster Cake,Nutcake,Plain Crepe,Pumpkin Pie,Wildberry Crepe"
Chickaloo Tree Nut,40px-BotW_Chickaloo_Tree_Nut_Icon.png?version=d387b82d95029d01535e6f1599c31d78 (https://dl.airtable.com/v0wmRLTMSf2IOw0dk6to_40px-BotW_Chickaloo_Tree_Nut_Icon.png%3Fversion%3Dd387b82d95029d01535e6f1599c31d78),Ingredient,"Small birds love this nut. You can eat it raw for a minor effect, but it can also be added as a spice to other recipes.",0.25,0.50,1.00,,,,"First 0:40,0:30","Roasted Tree Nut,Sautéed Nuts,Nutcake"
Chillfin Trout,40px-BotW_Chillfin_Trout_Icon.png?version=ced3ea1844bdcb8457a634db8580447b (https://dl.airtable.com/9E771p8S1uPn2Ij3bWBQ_40px-BotW_Chillfin_Trout_Icon.png%3Fversion%3Dced3ea1844bdcb8457a634db8580447b),Seafood,"This blue trout prefers cold bodies of water. Its skin contains enzymes that keep its body cool, and when cooked into a dish, it will temporarily boost your heat resistance.",1.00,1.50,2.00,Chilly,3,3.00,2:30,"Frozen Trout,Roasted Trout,Fish Skewer,Fish and Mushroom Skewer,Salt-Grilled Fish,Monster Stew"
Chillshroom,40px-BotW_Chillshroom_Icon.png?version=6f2eb80c1414dcab67c47feb42a9bd6c (https://dl.airtable.com/Wv3GN7wQ2mSFRTUwdQ8B_40px-BotW_Chillshroom_Icon.png%3Fversion%3D6f2eb80c1414dcab67c47feb42a9bd6c),Shroom,"Often found at the base of pine trees in cold climates, these mushrooms are cool to the touch and can be used to cook dishes that allow you to stay cool even in arid regions.",0.50,0.75,1.00,Chilly,2,2.00,2:30,"Toasty Chillshroom,Mushroom Skewer,Mushroom Rice Balls,Copious Mushrooms Skewers,Salt-Grilled Mushrooms,Glazed Mushrooms,Meat & Mushroom Skewer,Mushroom Omelet,Mushroom Risotto,Fragrant Mushroom Sauté,Fish and Mushroom Skewer"
Cold Darner,40px-BotW_Cold_Darner_Icon.png?version=f170a356b48a22fa39d18c96fa266d92 (https://dl.airtable.com/kJeQTu8GTXuoGzZMWEub_40px-BotW_Cold_Darner_Icon.png%3Fversion%3Df170a356b48a22fa39d18c96fa266d92),Critter,"This dragonfly prefers the cool shade of trees to the warmth of the sun. Its wings disperse heat from its body, which can be cooked into a heat-resistant elixir.",,,,Chilly,2,2.00,2:30,"Chilly Elixir,Dubious Food"
Cool Safflina,40px-BotW_Cool_Safflina_Icon.png?version=afcf900cc5bb3f085dbd64fbcd68faf3 (https://dl.airtable.com/meoOMgNSCprArbwF42kA_40px-BotW_Cool_Safflina_Icon.png%3Fversion%3Dafcf900cc5bb3f085dbd64fbcd68faf3),Plant,"This medicinal plant grows in high elevations, such as mountains in the Hebra or Gerudo regions. When cooked into a dish, it will temporarily increase your heat resistance.",,,,Chilly,1,1.00,2:30,
Courser Bee Honey,40px-BotW_Courser_Bee_Honey_Icon.png?version=3f3f6fb8b875bdcf3a7023a4fe506696 (https://dl.airtable.com/nHJTvdCdRE6sJ890o1QL_40px-BotW_Courser_Bee_Honey_Icon.png%3Fversion%3D3f3f6fb8b875bdcf3a7023a4fe506696),Ingredient,Honey straight from the hive is chock-full of nutrients. Cooking this into a meal unlocks the potential of these nutrients and provides a stamina-recovery effect.,2.00,,4.00,Energizing,2,3.00,,"Energizing Glazed Meat,Energizing Honey Candy,Glazed Seafood,Honeyed Fruits,Energizing Honeyed Apple,Glazed Veggies,Honey Crepe,Glazed Mushrooms"
Diamond,40px-BotW_Diamond_Icon.png?version=851936d8b7aea7154898e384ce0b4ec2 (https://dl.airtable.com/vrhVsVRCqo6fKd0V5rsA_40px-BotW_Diamond_Icon.png%3Fversion%3D851936d8b7aea7154898e384ce0b4ec2),Ore,"The most precious gem one can find in Hyrule, its signature sparkle has charmed Hyruleans for generations. As such, it has sold for a very high price since ancient times.",,,,,,,,
Dinraal's Claw,40px-BotW_Dinraal%27s_Claw_Icon.png?version=f1cf4151045a68a6cca1bc475b8882e1 (https://dl.airtable.com/888yp8hkQfG8fc1i1ZoF_40px-BotW_Dinraal%2527s_Claw_Icon.png%3Fversion%3Df1cf4151045a68a6cca1bc475b8882e1),Monster Part,"This valuable claw was plucked from the red spirit Dinraal. It was extremely hot before it was removed. You could sell it to a store, but it must have some other use.",,,2.00,Bonus,2,,3:30,
Electric Darner,40px-BotW_Electric_Darner_Icon.png?version=a1c7f8923358d14cf063563a9aa048fa (https://dl.airtable.com/zlUgSZDQoyLvmmQyR9zi_40px-BotW_Electric_Darner_Icon.png%3Fversion%3Da1c7f8923358d14cf063563a9aa048fa),Critter,This rare dragonfly only appears in the rain. Its wings direct electricity away from its body. Cook it with monster parts for an electricity-resistant elixir.,,,,Electro,2,2.00,2:30,"Electro Elixir,Dubious Food"
Electric Safflina,40px-BotW_Electric_Safflina_Icon.png?version=93d8cd3d1ca6634f13d2e9e9d648c60b (https://dl.airtable.com/BE9qiRorT9EjMKsaTayk_40px-BotW_Electric_Safflina_Icon.png%3Fversion%3D93d8cd3d1ca6634f13d2e9e9d648c60b),Plant,"This medicinal plant grows abundantly in the Gerudo Desert. Its peculiar fibers conduct electricity, which will increase your electricity resistance when cooked into a dish.",,,,Electro,1,1.00,2:30,
Energetic Rhino Beetle,40px-BotW_Energetic_Rhino_Beetle_Icon.png?version=44c9b42747f089db9037400793af9fd0 (https://dl.airtable.com/4GUTmgrZT7WaYSInwqYw_40px-BotW_Energetic_Rhino_Beetle_Icon.png%3Fversion%3D44c9b42747f089db9037400793af9fd0),Critter,"This valuable beetle can live up to ten years. When cooked with monster parts, its impressive vitality translates into an elixir that will greatly restore your stamina.",,,,Energizing,4,8.00,,"Energizing Elixir,Dubious Food"
Endura Carrot,40px-BotW_Endura_Carrot_Icon.png?version=3c19c5d13adeee500e227166989571e0 (https://dl.airtable.com/mzhaJRiNRgSuKfPtn9JA_40px-BotW_Endura_Carrot_Icon.png%3Fversion%3D3c19c5d13adeee500e227166989571e0),Vegetable,"Highly valued as a medicinal plant, this carrot contains large amounts of nourishing energy. When cooked into a dish, it boosts your stamina beyond its maximum limit.",2.00,3.00,4.00,Enduring,3,3.00,,"Roasted Endura Carrot,Carrot Cake,Carrot Stew,Vegetable Curry,Vegetable Risotto,Veggie Cream Soup"
Endura Shroom,40px-BotW_Endura_Shroom_Icon.png?version=3cae62c9ad0e2280e2c53e3479e2b59b (https://dl.airtable.com/EHCFTs4jTRm5DN2liMbP_40px-BotW_Endura_Shroom_Icon.png%3Fversion%3D3cae62c9ad0e2280e2c53e3479e2b59b),Shroom,A rare yellowish-orange mushroom. Cook it before eating to temporarily increase your stamina limit.,1.00,1.50,2.00,Enduring,1,0.50,,"Toasty Endura Shroom,Mushroom Skewer,Mushroom Rice Balls,Copious Mushrooms Skewers,Salt-Grilled Mushrooms,Glazed Mushrooms,Meat & Mushroom Skewer,Mushroom Omelet,Mushroom Risotto,Fragrant Mushroom Sauté,Fish and Mushroom Skewer"
Fairy,40px-BotW_Fairy_Icon.png?version=bdec6fb4d1817a550f159bc916492e9b (https://dl.airtable.com/5tjq8uIKSPCOkaEt3rQI_40px-BotW_Fairy_Icon.png%3Fversion%3Dbdec6fb4d1817a550f159bc916492e9b),Ingredient,"This fairy will fly from your pouch and heal all your wounds the moment you lose your last heart. It's easily mistaken for a firefly at first, but it glows in the daylight as well as night.",5.00,,10.00,,,,0:30,Fairy Tonic
Farosh's Claw,40px-BotW_Farosh%27s_Claw_Icon.png?version=8c072d432f0fc131d1c4f78e967af366 (https://dl.airtable.com/PmyCiTVxQYyg2VwxRlRC_40px-BotW_Farosh%2527s_Claw_Icon.png%3Fversion%3D8c072d432f0fc131d1c4f78e967af366),Monster Part,"This claw was plucked from the golden spirit Farosh. Its electricity was expelled before it was removed, so it's safe to handle. A store will buy it, but it must have some other use.",,,2.00,Bonus,2,,3:30,
Fireproof Lizard,40px-BotW_Fireproof_Lizard_Icon.png?version=5eb7f91cf159723e628b435f6c57a14a (https://dl.airtable.com/b3L2OthRSgeRtITrHdI9_40px-BotW_Fireproof_Lizard_Icon.png%3Fversion%3D5eb7f91cf159723e628b435f6c57a14a),Critter,"This rare lizard can only be found in the Eldin region. Its scales have heat-resistant properties, so when cooked with monster parts, it produces a heat-resistant elixir.",,,,Fireproof,1,1.00,2:30,"Fireproof Elixir,Dubious Food"
Fleet-Lotus Seeds,40px-BotW_Fleet-Lotus_Seeds_Icon.png?version=b1ac26e16f0e3b373e96c793fa13b6f2 (https://dl.airtable.com/91G6o1xQ8CRfr0D6vb8R_40px-BotW_Fleet-Lotus_Seeds_Icon.png%3Fversion%3Db1ac26e16f0e3b373e96c793fa13b6f2),Fruit,"The plant that bears these seeds grows near deep water. The roots draw nutrients from the water, which boosts your movement speed when the seeds are cooked into a dish.",0.50,0.75,1.00,Hasty,2,2.00,1:00,"Roasted Lotus Seeds,Fruit and Mushroom Mix,Simmered Fruit,Fruit Pie,Fruitcake,Honeyed Fruits,Copious Simmered Fruit"
Flint,40px-BotW_Flint_Icon.png?version=3e1ab2f0100136fe13eec6b16af793b6 (https://dl.airtable.com/6IYga7pSOaoc3joi3Icv_40px-BotW_Flint_Icon.png%3Fversion%3D3e1ab2f0100136fe13eec6b16af793b6),Ore,"Strike it with a metallic weapon to generate a spark. The portable fire starter breaks after one use, but it can create a long-lasting flame if you use it near firewood.",,,,,,,,
Fortified Pumpkin,40px-BotW_Fortified_Pumpkin_Icon.png?version=41cfc6b4cd9f8049449e460707953e33 (https://dl.airtable.com/944uJjiBQCOeFQwcorZ3_40px-BotW_Fortified_Pumpkin_Icon.png%3Fversion%3D41cfc6b4cd9f8049449e460707953e33),Vegetable,"An extremely tough pumpkin raised in village fields. When cooked, that toughness manifests itself by considerably upping defense.",0.50,0.75,1.00,Tough,2,2.00,0:50,"Pumpkin Pie,Pumpkin Stew,Tough Meat-Stuffed Pumpkin,Baked Fortified Pumpkin,Vegetable Curry,Vegetable Risotto,Veggie Cream Soup"
Fresh Milk,40px-BotW_Fresh_Milk_Icon.png?version=8c53a5bb141f1a6bacd8b0b5fb2202b4 (https://dl.airtable.com/A2JiaQbqRmyRAhwg90Wf_40px-BotW_Fresh_Milk_Icon.png%3Fversion%3D8c53a5bb141f1a6bacd8b0b5fb2202b4),Ingredient,This fresh milk comes from Hateno cows and white goats kept in the village. It's delicious on its own but can also be used as an ingredient in soups and stews.,0.50,,1.00,,,,0:30,"Egg Pudding,Hearty Clam Chowder,Honey Crepe,Plain Crepe,Warm Milk,Carrot Stew,Cream of Mushroom Soup,Cream of Vegetable Soup,Creamy Heart Soup,Creamy Meat Soup,Creamy Seafood Soup,Gourmet Meat Stew,Monster Soup,Prime Meat Stew,Pumpkin Stew,Veggie Cream Soup,Wildberry Crepe"
Giant Ancient Core,40px-BotW_Giant_Ancient_Core_Icon.png?version=1d0231bb704c2966025bc4a67d9e3e91 (https://dl.airtable.com/rkhNGmhRReyxzAHXv9mz_40px-BotW_Giant_Ancient_Core_Icon.png%3Fversion%3D1d0231bb704c2966025bc4a67d9e3e91),Monster Part,A giant energy crystal made using lost ancient technology. Cores this large are an extremely rare find. A researcher would probably know how to use this.,,,,,3,,3:10,
Goat Butter,40px-BotW_Goat_Butter_Icon.png?version=e9991fc834be89c8bb0f500d07725e62 (https://dl.airtable.com/oyG4Cm8PT5qmfMaAj44a_40px-BotW_Goat_Butter_Icon.png%3Fversion%3De9991fc834be89c8bb0f500d07725e62),Ingredient,Butter made from the milk of a domesticated white goat. In addition to being used in dishes like stews and meunière. It's often used when making cakes and other sweets.,,,,,,,"First 1:20,0:30","Apple Pie,Carrot Cake,Carrot Stew,Crab Risotto,Curry Pilaf,Egg Tart,Fish Pie,Fruit Pie,Gourmet Meat Stew,Gourmet Poultry Pilaf,Hearty Clam Chowder,Hearty Salmon Muenière,Hot Buttered Apple,Meat Pie,Monster Cake,Monster Soup,Nutcake,Plain Crepe,Porgy Meunière,Poultry Pilaf,Prime Meat Stew,Prime Poultry Pilaf,Pumpkin Pie,Pumpkin Stew,Salmon Risotto,Seafood Meunière,Vegetable Omelet,Vegetable Risotto,Mushroom Omelet,Mushroom Risotto"
Goron Spice,40px-BotW_Goron_Spice_Icon.png?version=b8b1f2d247bb82bc86ea24aaf37cf30c (https://dl.airtable.com/ai3A7ObpTumfhf7gW8h1_40px-BotW_Goron_Spice_Icon.png%3Fversion%3Db8b1f2d247bb82bc86ea24aaf37cf30c),Ingredient,"Made from several types of spices, this secret Goron seasoning has been handed down for generations. An initial wave of spiciness paves the way for the sweetness.",,,,,,,0:30,"Crab Stir-Fry,Seafood Curry,Spiced Meat Skewer,Curry Pilaf,Curry Rice,Gourmet Meat Curry,Gourmet Poultry Curry,Gourmet Spiced Meat Skewer,Herb Sauté,Meat Curry,Monster Curry,Poultry Curry,Prime Meat Curry,Prime Poultry Curry,Prime Spiced Meat Skewer,Vegetable Curry,Fragrant Mushroom Sauté"
Hearty Bass,40px-BotW_Hearty_Bass_Icon.png?version=4aa4a39a9faad676ef20af62797da102 (https://dl.airtable.com/BVJGIcDATiIECOOyaIJP_40px-BotW_Hearty_Bass_Icon.png%3Fversion%3D4aa4a39a9faad676ef20af62797da102),Seafood,"This large fish lives near the shoreline. Its sizable body can restore a lot of nutrient. When cooked into a dish, it will temporarily increase your maximum hearts.",2.00,3.00,30.00,Hearty,2,2.00,,"Roasted Hearty Bass,Frozen Hearty Bass,Fish Skewer,Fish and Mushroom Skewer,Salt-Grilled Fish,Monster Stew"
Hearty Blueshell Snail,40px-BotW_Hearty_Blueshell_Snail_Icon.png?version=d8405d8d563b8b7e4130ad7c56e03be8 (https://dl.airtable.com/jDF8azlGSqa8o9Hl0xhR_40px-BotW_Hearty_Blueshell_Snail_Icon.png%3Fversion%3Dd8405d8d563b8b7e4130ad7c56e03be8),Seafood,"This snail lives on sandy beaches in large numbers. Its flesh contains a high amount of stimulants, so when cooked into a dish, it temporarily increases your maximum hearts.",3.00,4.50,30.00,Hearty,3,3.00,,"Icy Hearty Blueshell Snail,Seafood Paella,Blueshell Escargot,Hearty Clam Chowder,Seafood Curry,Seafood Fried Rice,Salt-Grilled Fish,Seafood Skewer,Monster Stew"
Hearty Durian,40px-BotW_Hearty_Durian_Icon.png?version=d91b25d4e21bccaac6381b2215b60ef5 (https://dl.airtable.com/umYuNgwATtORGb8WoqbV_40px-BotW_Hearty_Durian_Icon.png%3Fversion%3Dd91b25d4e21bccaac6381b2215b60ef5),Fruit,"This fruit's odor earned it the nickname ""king of fruits"". It offers immense restorative power; dishes cooked with it will temporarily increase your maximum hearts.",3.00,4.50,30.00,Hearty,4,4.00,,"Roasted Hearty Durian,Fruit and Mushroom Mix,Simmered Fruit,Fruit Pie,Fruitcake,Honeyed Fruits,Copious Simmered Fruit"
Hearty Lizard,40px-BotW_Hearty_Lizard_Icon.png?version=662fed3e92ea16a131219eda5243630c (https://dl.airtable.com/DyVTEQeITOOTODG8Btni_40px-BotW_Hearty_Lizard_Icon.png%3Fversion%3D662fed3e92ea16a131219eda5243630c),Critter,"This rare lizard lives deep in the forests. It feeds on high-nutrient foods, giving it great vitality. When used to make elixirs, they temporarily increase your maximum hearts.",,,,Hearty,4,4.00,,"Hearty Elixir,Dubious Food"
Hearty Radish,40px-BotW_Hearty_Radish_Icon.png?version=0f15f1bb26842e2f741df01405084fed (https://dl.airtable.com/7nX17sprS0eB8JPp7Tka_40px-BotW_Hearty_Radish_Icon.png%3Fversion%3D0f15f1bb26842e2f741df01405084fed),Vegetable,A rare radish that grows best in sunny plains. Cook it before eating to temporarily increase your maximum hearts.,2.00,3.75,30.00,Hearty,3,3.00,,"Roasted Radish,Creamy Heart Soup"
Hearty Salmon,40px-BotW_Hearty_Salmon_Icon.png?version=e17c03f1bf9acd96e174721f9e61b2b4 (https://dl.airtable.com/ZHMhyRfLQ4eR6VbSc54h_40px-BotW_Hearty_Salmon_Icon.png%3Fversion%3De17c03f1bf9acd96e174721f9e61b2b4),Seafood,"This fish makes its home in cold water, giving it extra layers of fat. It temporarily increases your maximum hearts when used in cooking.",4.00,6.00,30.00,Hearty,4,4.00,,"Salmon Risotto,Hearty Salmon Muenière,Roasted Hearty Salmon,Frozen Hearty Salmon,Fish Skewer,Fish and Mushroom Skewer,Salt-Grilled Fish,Monster Stew"
Hearty Truffle,40px-BotW_Hearty_Truffle_Icon.png?version=408df381ce420b44411c9efc9aef2e9e (https://dl.airtable.com/KqyXvw0uSVAHig8uIYCO_40px-BotW_Hearty_Truffle_Icon.png%3Fversion%3D408df381ce420b44411c9efc9aef2e9e),Shroom,This rare mushroom has a rich scent. Cook it before eating to temporarily increase your maximum hearts.,2.00,3.00,30.00,Hearty,1,1.00,,"Toasted Hearty Truffle,Mushroom Skewer,Mushroom Rice Balls,Copious Mushrooms Skewers,Salt-Grilled Mushrooms,Glazed Mushrooms,Meat & Mushroom Skewer,Mushroom Omelet,Mushroom Risotto,Fragrant Mushroom Sauté,Fish and Mushroom Skewer"
Hightail Lizard,40px-BotW_Hightail_Lizard_Icon.png?version=2a06f8dcfce45ddd8753e2cc0173c4e9 (https://dl.airtable.com/9OGc2qLrRdeZnuiEjVnL_40px-BotW_Hightail_Lizard_Icon.png%3Fversion%3D2a06f8dcfce45ddd8753e2cc0173c4e9),Critter,"A lizard found throughout Hyrule. It's a bit slow to react at times, but if given a chance to escape, it will dart off quickly. Cook it with monster parts for a speed-boosting elixir.",,,,Hasty,1,1.00,1:00,"Hasty Elixir,Dubious Food"
Hot-Footed Frog,40px-BotW_Hot-Footed_Frog_Icon.png?version=65b2d8841f277864ba1ae84423663c75 (https://dl.airtable.com/OIqWq11xSxR0x4lKwYUK_40px-BotW_Hot-Footed_Frog_Icon.png%3Fversion%3D65b2d8841f277864ba1ae84423663c75),Critter,A quick frog that can be found hopping around near water. Cook it with monster parts to draw out its speed-boost effect.,,,,Hasty,2,2.00,1:00,"Hasty Elixir,Dubious Food"
Hydromelon,40px-BotW_Hydromelon_Icon.png?version=f978ce1fa3d5847835e9b8b8d2adbd03 (https://dl.airtable.com/HRH1AKWFRX2abMM2VupY_40px-BotW_Hydromelon_Icon.png%3Fversion%3Df978ce1fa3d5847835e9b8b8d2adbd03),Fruit,"This resilient fruit can flourish even in the heat of the desert. The hydrating liquid inside provides a cooling effect that, when cooked, increases your heat resistance.",0.50,0.75,1.00,Chilly,1,1.00,2:30,"Creamy Heart Soup,Roasted Hydromelon,Fruit and Mushroom Mix,Simmered Fruit,Fruit Pie,Fruitcake,Honeyed Fruits,Copious Simmered Fruit"
Hylian Rice,40px-BotW_Hylian_Rice_Icon.png?version=67ff35ff78c2256e7bf73dc7e3f92c7c (https://dl.airtable.com/xilfDYIyTlq7VdCr4l4i_40px-BotW_Hylian_Rice_Icon.png%3Fversion%3D67ff35ff78c2256e7bf73dc7e3f92c7c),Ingredient,This grain is a favorite among residents of Kakariko Village. It's grown in regions with a lot of water and is quite versatile. Used as an ingredient in things like risotto and rice balls.,1.00,,2.00,,,,"First 1:00,0:30","Crab Omelet with Rice,Crab Risotto,Curry Pilaf,Curry Rice,Fried Egg and Rice,Meat and Rice Bowl,Monster Curry,Monster Rice Balls,Seafood Fried Rice,Seafood Rice Balls,Gourmet Meat and Rice Bowl,Gourmet Meat Curry,Gourmet Poultry Curry,Gourmet Poultry Pilaf,Meat Curry,Meaty Rice Balls,Poultry Curry,Poultry Pilaf,Prime Meat and Rice Bowl,Prime Meat Curry,Prime Poultry Curry,Prime Poultry Pilaf,Salmon Risotto,Seafood Curry,Seafood Paella,Vegetable Curry,Vegetable Risotto,Veggie Rice Balls,Mushroom Rice Balls,Mushroom Risotto"
Hylian Shroom,40px-BotW_Hylian_Shroom_Icon.png?version=b145ea271a1ec9d7b6c4cecbc127fe68 (https://dl.airtable.com/I2fdKTqsSOWTm4nrS8no_40px-BotW_Hylian_Shroom_Icon.png%3Fversion%3Db145ea271a1ec9d7b6c4cecbc127fe68),Shroom,A common mushroom found near trees around Hyrule. Eat it to restore half a heart.,0.50,1.50,1.00,,,,0:30,"Toasty Hylian Shroom,Mushroom Skewer,Mushroom Rice Balls,Copious Mushrooms Skewers,Salt-Grilled Mushrooms,Glazed Mushrooms,Meat & Mushroom Skewer,Mushroom Omelet,Mushroom Risotto,Fragrant Mushroom Sauté,Fish and Mushroom Skewer"
